ID,vote
5001,0.4
5002,3.0
5003,1.6
5004,2.8
5005,0.0
5006,0.41921511085
5007,2.0
5008,0.4
5009,4.4
5010,3.4
5011,4.0
5012,1.7
5013,2.31480125858
5014,4.2
5015,4.9
5016,1.1
5017,5.6
5018,4.26666666667
5019,1.8
5020,4.5
5021,3.1
5022,6.7
5023,2.0
5024,0.6
5025,0.0
5026,0.505265517538
5027,1.11227629372
5028,3.1
5029,1.3
5030,3.66666666667
5031,4.5
5032,1.15789473684
5033,1.8
5034,3.38461538462
5035,2.0
5036,2.8
5037,4.8
5038,2.7
5039,3.3
5040,2.0
5041,9.82753066776
5042,2.51723017602
5043,6.0
5044,5.2
5045,1.5
5046,1.37143497617
5047,1.8
5048,2.5
5049,5.0
5050,7.2
5051,1.0
5052,2.6
5053,1.625
5054,3.2
5055,5.14889629556
5056,4.0
5057,0.9
5058,0.8
5059,2.25
5060,1.6
5061,0.625
5062,4.7
5063,1.63157894737
5064,2.1
5065,0.9
5066,1.5
5067,1.0
5068,1.66990539676
5069,1.7
5070,0.533333333333
5071,0.33537208868
5072,1.6
5073,4.09275063499
5074,1.9
5075,3.55131670195
5076,1.7
5077,1.8
5078,3.4
5079,0.8
5080,4.5
5081,5.0
5082,1.4
5083,2.7
5084,4.4
5085,5.1
5086,4.1
5087,0.416666666667
5088,2.58690115519
5089,5.3
5090,1.7
5091,1.5625
5092,1.4
5093,1.4
5094,6.3
5095,4.5
5096,0.5
5097,2.6
5098,4.2230011226
5099,5.47247680282
5100,3.73333333333
5101,2.20856379084
5102,3.2
5103,5.9
5104,1.77022074089
5105,3.1
5106,2.1
5107,3.0
5108,0.669170367956
5109,3.5
5110,6.1
5111,1.2
5112,2.65851164528
5113,0.669170367956
5114,0.6
5115,2.2
5116,0.611500561302
5117,2.89222715727
5118,5.92838950991
5119,2.8
5120,3.46927470851
5121,0.714285714286
5122,4.74235466745
5123,2.5384369165
5124,5.7
5125,2.51723017602
5126,1.14285714286
5127,4.7
5128,0.4
5129,2.7
5130,0.9
5131,5.0
5132,6.32693003949
5133,5.3
5134,4.3
5135,2.46153846154
5136,1.2
5137,3.0
5138,2.89881652653
5139,3.6
5140,3.33333333333
5141,1.9
5142,8.3
5143,0.8
5144,3.3
5145,3.0
5146,0.59481810485
5147,4.8
5148,2.3
5149,9.1
5150,3.0614629412
5151,3.7
5152,4.4
5153,2.4
5154,3.2
5155,3.10031534413
5156,2.50305813302
5157,3.0
5158,7.2
5159,2.2
5160,1.6
5161,0.635675478396
5162,4.2
5163,0.615384615385
5164,3.7
5165,2.0
5166,1.4
5167,1.04093168349
5168,3.23318026839
5169,1.6
5170,1.5
5171,1.0
5172,2.42857142857
5173,2.9
5174,1.0
5175,4.4
5176,5.2
5177,2.7
5178,6.11003153441
5179,3.2
5180,2.1
5181,4.1
5182,3.1
5183,0.0
5184,0.9
5185,0.0
5186,1.564653772
5187,1.4
5188,1.5
5189,1.0
5190,5.6
5191,4.2
5192,3.4
5193,3.3
5194,1.2
5195,6.33333333333
5196,4.1
5197,3.5
5198,1.8
5199,0.33537208868
5200,1.6
5201,1.3
5202,5.3
5203,2.7
5204,1.5
5205,5.375
5206,1.6
5207,2.07142857143
5208,1.2
5209,4.3
5210,3.5
5211,4.4
5212,3.0
5213,1.7
5214,0.4
5215,2.125
5216,3.1
5217,3.8
5218,6.3
5219,2.9
5220,5.1
5221,4.4
5222,0.520465841744
5223,2.49768872981
5224,0.7
5225,0.5
5226,0.6
5227,1.9
5228,0.6
5229,2.0
5230,1.8
5231,0.4
5232,2.9
5233,2.6
5234,3.1
5235,7.59160638098
5236,3.5
5237,1.3
5238,6.55559622425
5239,1.2
5240,0.7
5241,4.8
5242,6.6
5243,0.6
5244,6.2
5245,1.6
5246,4.33333333333
5247,1.5
5248,3.7
5249,1.6
5250,6.5
5251,1.4
5252,4.86957832717
5253,4.57142857143
5254,3.1
5255,1.71127684712
5256,1.5
5257,1.1
5258,1.0
5259,4.2
5260,0.9
5261,6.64016284716
5262,0.6
5263,0.571428571429
5264,0.3
5265,1.9
5266,1.1
5267,2.32370213295
5268,3.7
5269,1.1
5270,3.41666666667
5271,1.8
5272,1.6
5273,3.84615384615
5274,3.8
5275,0.433084729318
5276,6.51129291091
5277,3.1
5278,2.3
5279,3.0
5280,3.1
5281,2.4
5282,4.8
5283,3.5
5284,2.5
5285,0.60721516252
5286,3.5
5287,1.88471605341
5288,0.9
5289,1.0
5290,1.5
5291,2.33333333333
5292,4.0
5293,7.2
5294,3.7
5295,1.8
5296,5.9
5297,1.8
5298,2.3
5299,3.2
5300,5.4
5301,1.8
5302,8.8
5303,4.4
5304,4.0
5305,2.93989276315
5306,5.3
5307,2.6
5308,0.68823967092
5309,1.1
5310,2.0
5311,1.0
5312,5.1
5313,3.86666666667
5314,3.9
