ID,vote
5001,0.0
5002,6.0
5003,0.0
5004,2.0
5005,0.0
5006,0.0
5007,4.0
5008,0.0
5009,4.0
5010,2.0
5011,6.0
5012,0.0
5013,3.0
5014,9.0
5015,6.0
5016,2.0
5017,4.0
5018,6.0
5019,0.0
5020,2.0
5021,3.0
5022,9.0
5023,0.0
5024,0.0
5025,0.0
5026,0.0
5027,3.0
5028,7.0
5029,0.0
5030,2.0
5031,0.0
5032,0.0
5033,4.0
5034,2.0
5035,4.0
5036,2.0
5037,9.0
5038,0.0
5039,0.0
5040,0.0
5041,8.0
5042,6.0
5043,6.0
5044,3.0
5045,0.0
5046,0.0
5047,0.0
5048,2.0
5049,5.0
5050,10.0
5051,0.0
5052,0.0
5053,1.0
5054,4.0
5055,9.0
5056,6.0
5057,0.0
5058,0.0
5059,2.0
5060,6.0
5061,0.0
5062,3.0
5063,3.0
5064,1.0
5065,1.0
5066,0.0
5067,2.0
5068,2.0
5069,0.0
5070,0.0
5071,0.0
5072,0.0
5073,9.0
5074,4.0
5075,3.0
5076,8.0
5077,6.0
5078,4.0
5079,2.0
5080,5.0
5081,4.0
5082,4.0
5083,0.0
5084,2.0
5085,0.0
5086,2.0
5087,0.0
5088,2.0
5089,4.0
5090,3.0
5091,0.0
5092,0.0
5093,0.0
5094,4.0
5095,11.0
5096,6.0
5097,4.0
5098,6.0
5099,10.0
5100,2.0
5101,2.0
5102,0.0
5103,11.0
5104,1.0
5105,4.0
5106,2.0
5107,0.0
5108,0.0
5109,3.0
5110,5.0
5111,5.0
5112,4.0
5113,0.0
5114,0.0
5115,0.0
5116,0.0
5117,2.0
5118,4.0
5119,4.0
5120,6.0
5121,0.0
5122,6.0
5123,2.0
5124,6.0
5125,6.0
5126,0.0
5127,4.0
5128,4.0
5129,2.0
5130,3.0
5131,4.0
5132,12.0
5133,2.0
5134,3.0
5135,2.0
5136,0.0
5137,4.0
5138,4.0
5139,4.0
5140,0.0
5141,0.0
5142,11.0
5143,0.0
5144,2.0
5145,8.0
5146,0.0
5147,8.0
5148,0.0
5149,11.0
5150,4.0
5151,4.0
5152,2.0
5153,0.0
5154,4.0
5155,2.0
5156,2.0
5157,2.0
5158,9.0
5159,0.0
5160,0.0
5161,2.0
5162,11.0
5163,0.0
5164,3.0
5165,1.0
5166,2.0
5167,0.0
5168,6.0
5169,0.0
5170,0.0
5171,0.0
5172,0.0
5173,6.0
5174,0.0
5175,5.0
5176,9.0
5177,4.0
5178,6.0
5179,2.0
5180,0.0
5181,4.0
5182,4.0
5183,0.0
5184,0.0
5185,5.0
5186,2.0
5187,2.0
5188,8.0
5189,1.0
5190,7.0
5191,4.0
5192,2.0
5193,2.0
5194,0.0
5195,5.0
5196,5.0
5197,6.0
5198,0.0
5199,0.0
5200,2.0
5201,0.0
5202,8.0
5203,5.0
5204,4.0
5205,6.0
5206,2.0
5207,0.0
5208,0.0
5209,0.0
5210,2.0
5211,3.0
5212,3.0
5213,3.0
5214,0.0
5215,0.0
5216,7.0
5217,3.0
5218,11.0
5219,0.0
5220,3.0
5221,9.0
5222,0.0
5223,2.0
5224,0.0
5225,0.0
5226,0.0
5227,5.0
5228,0.0
5229,2.0
5230,0.0
5231,0.0
5232,2.0
5233,0.0
5234,1.0
5235,4.0
5236,2.0
5237,0.0
5238,10.0
5239,3.0
5240,0.0
5241,4.0
5242,9.0
5243,0.0
5244,1.0
5245,6.0
5246,0.0
5247,0.0
5248,3.0
5249,0.0
5250,6.0
5251,5.0
5252,0.0
5253,4.0
5254,2.0
5255,2.0
5256,0.0
5257,0.0
5258,0.0
5259,4.0
5260,0.0
5261,11.0
5262,0.0
5263,0.0
5264,0.0
5265,2.0
5266,4.0
5267,0.0
5268,4.0
5269,0.0
5270,6.0
5271,2.0
5272,0.0
5273,4.0
5274,5.0
5275,0.0
5276,2.0
5277,2.0
5278,0.0
5279,8.0
5280,0.0
5281,3.0
5282,9.0
5283,6.0
5284,0.0
5285,0.0
5286,0.0
5287,3.0
5288,0.0
5289,0.0
5290,1.0
5291,0.0
5292,3.0
5293,7.0
5294,2.0
5295,3.0
5296,4.0
5297,6.0
5298,4.0
5299,0.0
5300,6.0
5301,0.0
5302,6.0
5303,8.0
5304,6.0
5305,6.0
5306,7.0
5307,0.0
5308,0.0
5309,0.0
5310,4.0
5311,2.0
5312,0.0
5313,4.0
5314,4.0
5315,0.0
5316,13.0
5317,2.0
5318,2.0
5319,0.0
5320,0.0
5321,4.0
5322,2.0
5323,0.0
5324,0.0
5325,7.0
5326,6.0
5327,2.0
5328,4.0
5329,2.0
5330,0.0
5331,1.0
5332,11.0
5333,0.0
5334,0.0
5335,0.0
5336,6.0
5337,0.0
5338,9.0
5339,0.0
5340,3.0
5341,0.0
5342,4.0
5343,2.0
5344,0.0
5345,4.0
5346,0.0
5347,2.0
5348,7.0
5349,0.0
